week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
13,BUF,SF,401671781,1ca8e4e0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
13,DEN,CLE,401671686,1ca93300-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
14,DET,GB,401671814,1cec5680-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,TEN,JAX,401671821,1ced19d0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,MIA,NYJ,401671848,1ced8f00-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,MIN,ATL,401671648,1ceddd20-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,NYG,NO,401671601,1cee2b40-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,PHI,CAR,401671713,1cee7960-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,PIT,CLE,401671631,1ceec780-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,TB,LV,401671654,1cef3cb0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,ARI,SEA,401671660,1cef8ad0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,LAR,BUF,401671773,1cf00000-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,SF,CHI,401671774,1cf04e20-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,KC,LAC,401671788,1cf09c40-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
14,DAL,CIN,401671690,1cf0ea60-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
15,SF,LAR,401671818,1d260420-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
15,CLE,KC,401671854,1d26a060-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
15,TEN,CIN,401671825,1d26ee80-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
15,NO,WSH,401671737,1d273ca0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
15,NYG,BAL,401671639,1d278ac0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
15,CAR,DAL,401671731,1d27d8e0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
15,JAX,NYJ,401671706,1d284e10-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
